001  00214 |Loss: 2.364 | Acc: 19.593% 
001  00215 |Loss: 2.361 | Acc: 19.644% 
001  00216 |Loss: 2.359 | Acc: 19.708% 
001  00217 |Loss: 2.357 | Acc: 19.769% 
001  00218 |Loss: 2.355 | Acc: 19.825% 
001  00219 |Loss: 2.353 | Acc: 19.852% 
001  00220 |Loss: 2.351 | Acc: 19.869% 
001  00221 |Loss: 2.349 | Acc: 19.924% 
001  00222 |Loss: 2.347 | Acc: 19.989% 
001  00223 |Loss: 2.344 | Acc: 20.046% 
001  00224 |Loss: 2.342 | Acc: 20.103% 
001  00225 |Loss: 2.340 | Acc: 20.125% 
001  00226 |Loss: 2.337 | Acc: 20.188% 
001  00227 |Loss: 2.336 | Acc: 20.233% 
001  00228 |Loss: 2.333 | Acc: 20.285% 
001  00229 |Loss: 2.331 | Acc: 20.319% 
001  00230 |Loss: 2.329 | Acc: 20.370% 
001  00231 |Loss: 2.327 | Acc: 20.427% 
001  00232 |Loss: 2.325 | Acc: 20.440% 
001  00233 |Loss: 2.323 | Acc: 20.500% 
001  00234 |Loss: 2.321 | Acc: 20.556% 
001  00235 |Loss: 2.319 | Acc: 20.625% 
001  00236 |Loss: 2.317 | Acc: 20.644% 
001  00237 |Loss: 2.315 | Acc: 20.685% 
001  00238 |Loss: 2.314 | Acc: 20.723% 
001  00239 |Loss: 2.312 | Acc: 20.751% 
001  00240 |Loss: 2.310 | Acc: 20.765% 
001  00241 |Loss: 2.309 | Acc: 20.812% 
001  00242 |Loss: 2.307 | Acc: 20.823% 
001  00243 |Loss: 2.305 | Acc: 20.856% 
001  00244 |Loss: 2.303 | Acc: 20.882% 
001  00245 |Loss: 2.301 | Acc: 20.931% 
001  00246 |Loss: 2.299 | Acc: 20.964% 
001  00247 |Loss: 2.297 | Acc: 20.999% 
001  00248 |Loss: 2.295 | Acc: 21.034% 
001  00249 |Loss: 2.293 | Acc: 21.084% 
001  00250 |Loss: 2.291 | Acc: 21.141% 
001  00251 |Loss: 2.289 | Acc: 21.221% 
001  00252 |Loss: 2.287 | Acc: 21.255% 
001  00253 |Loss: 2.285 | Acc: 21.294% 
001  00254 |Loss: 2.283 | Acc: 21.352% 
001  00255 |Loss: 2.281 | Acc: 21.403% 
001  00256 |Loss: 2.279 | Acc: 21.463% 
001  00257 |Loss: 2.277 | Acc: 21.504% 
001  00258 |Loss: 2.275 | Acc: 21.545% 
001  00259 |Loss: 2.273 | Acc: 21.573% 
001  00260 |Loss: 2.271 | Acc: 21.623% 
001  00261 |Loss: 2.269 | Acc: 21.665% 
001  00262 |Loss: 2.268 | Acc: 21.687% 
001  00263 |Loss: 2.266 | Acc: 21.721% 
001  00264 |Loss: 2.265 | Acc: 21.730% 
001  00265 |Loss: 2.263 | Acc: 21.784% 
001  00266 |Loss: 2.261 | Acc: 21.819% 
001  00267 |Loss: 2.260 | Acc: 21.866% 
001  00268 |Loss: 2.258 | Acc: 21.919% 
001  00269 |Loss: 2.257 | Acc: 21.956% 
001  00270 |Loss: 2.255 | Acc: 21.988% 
001  00271 |Loss: 2.253 | Acc: 22.065% 
001  00272 |Loss: 2.251 | Acc: 22.116% 
001  00273 |Loss: 2.250 | Acc: 22.153% 
001  00274 |Loss: 2.248 | Acc: 22.209% 
001  00275 |Loss: 2.247 | Acc: 22.205% 
001  00276 |Loss: 2.245 | Acc: 22.243% 
001  00277 |Loss: 2.244 | Acc: 22.278% 
001  00278 |Loss: 2.242 | Acc: 22.330% 
001  00279 |Loss: 2.241 | Acc: 22.359% 
001  00280 |Loss: 2.239 | Acc: 22.360% 
001  00281 |Loss: 2.238 | Acc: 22.392% 
001  00282 |Loss: 2.236 | Acc: 22.432% 
001  00283 |Loss: 2.234 | Acc: 22.488% 
001  00284 |Loss: 2.232 | Acc: 22.543% 
001  00285 |Loss: 2.231 | Acc: 22.577% 
001  00286 |Loss: 2.229 | Acc: 22.599% 
001  00287 |Loss: 2.228 | Acc: 22.621% 
001  00288 |Loss: 2.225 | Acc: 22.686% 
001  00289 |Loss: 2.224 | Acc: 22.708% 
001  00290 |Loss: 2.222 | Acc: 22.740% 
001  00291 |Loss: 2.221 | Acc: 22.782% 
001  00292 |Loss: 2.220 | Acc: 22.819% 
001  00293 |Loss: 2.218 | Acc: 22.878% 
001  00294 |Loss: 2.217 | Acc: 22.914% 
001  00295 |Loss: 2.216 | Acc: 22.940% 
001  00296 |Loss: 2.214 | Acc: 23.010% 
001  00297 |Loss: 2.213 | Acc: 23.043% 
001  00298 |Loss: 2.211 | Acc: 23.065% 
001  00299 |Loss: 2.210 | Acc: 23.098% 
001  00300 |Loss: 2.209 | Acc: 23.096% 
001  00301 |Loss: 2.208 | Acc: 23.129% 
001  00302 |Loss: 2.207 | Acc: 23.153% 
001  00303 |Loss: 2.205 | Acc: 23.198% 
001  00304 |Loss: 2.204 | Acc: 23.232% 
001  00305 |Loss: 2.203 | Acc: 23.268% 
001  00306 |Loss: 2.202 | Acc: 23.297% 
001  00307 |Loss: 2.201 | Acc: 23.346% 
001  00308 |Loss: 2.199 | Acc: 23.407% 
001  00309 |Loss: 2.198 | Acc: 23.443% 
001  00310 |Loss: 2.196 | Acc: 23.473% 
001  00311 |Loss: 2.195 | Acc: 23.490% 
